| Scene ID | Cinematic Purpose                                     | Core Visual Narrative                                                          | Image Prompt Seed                                                                                                                                                                                                                                                                  | Video Animation Prompt                                                                                                                                                                                          | xPRIMEray Overlay / Telemetry Layer                                                         | Observer / Causal Structure Goal                                        | Artistic Optical Language                                                                         | Intended Audience Realization                                       |
| -------- | ----------------------------------------------------- | ------------------------------------------------------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------- |
| XR-CB-01 | Establish “empty space is structured”                 | Calm quantum vacuum with subtle correlated fluctuations across dark space      | `Deep black spacetime void with soft synchronized ripple pairs, faint correlated oscillations, subtle volumetric vacuum texture, sparse glowing wavelets, scientific cinematic aesthetic, calm and coherent, no explosions, no particles popping, elegant mathematical atmosphere` | `Slow drifting motion of synchronized vacuum fluctuations. Paired oscillations subtly mirror each other across invisible regions. Tiny correlations pulse softly as if space itself contains hidden structure.` | Vacuum Correlation Overlay, Pair-Link Visualization, Correlation Density Heatmap            | Observer has full access to both sides of correlations                  | Soft blue-gold interference glows, low-noise gradients, coherent motion fields                    | “The vacuum is not empty. It contains hidden relational structure.” |
| XR-CB-02 | Introduce restricted observability                    | Invisible partition divides spacetime into accessible and inaccessible regions | `Minimal dark spacetime field divided by a faint luminous line, left side visible, right side fading into darkness, subtle paired oscillators crossing the boundary, elegant geometric composition`                                                                                | `A thin line slowly appears. One side of spacetime gently fades. Correlated oscillators lose synchronization as inaccessible partner modes disappear from view.`                                                | Local Causal Partition Overlay, Observer Visibility Mask, Boundary Access Shader            | Demonstrate that entropy emerges from restricted access, not from chaos | Smooth opacity fade, partial signal decoherence, soft thermal grain emerging only on visible side | “Nothing physically changed. Access changed.”                       |
| XR-CB-03 | Visualize emergent thermal behavior                   | Observable region becomes noisy and thermodynamic after correlation loss       | `Half-visible quantum vacuum becoming statistically noisy, subtle thermal shimmer emerging from hidden correlations, elegant entropy field visualization, scientific cinematic rendering`                                                                                          | `The visible region slowly transforms from coherent wave motion into thermal-like probabilistic flicker. Hidden partner modes continue moving behind faded region.`                                             | Entanglement Entropy Overlay, Thermal Noise Gradient, Observable Access Telemetry           | Show observer-dependent entropy generation                              | Fine grain diffusion bloom, stochastic microflicker, soft probability haze                        | “Entropy measures hidden inaccessible configurations.”              |
| XR-CB-04 | Transition from black hole to universal horizon logic | Black hole horizon morphs into a local causal patch                            | `Cinematic black hole horizon smoothly transforming into a small curved spacetime patch, glowing event horizon becoming local boundary arc, elegant geometric continuity`                                                                                                          | `Camera slowly zooms into black hole horizon until curvature flattens locally into a simple causal boundary patch.`                                                                                             | Horizon Curvature Overlay, Local Rindler Horizon Label, Geodesic Curvature Vectors          | Teach that horizon logic localizes everywhere                           | Curvature flattening, geometric simplification, horizon glow continuity                           | “The black hole was never special.”                                 |
| XR-CB-05 | Reveal local Rindler horizon                          | Local patch becomes a clean spacetime wedge                                    | `Flat spacetime wedge with glowing causal boundaries, Minkowski-like geometry, elegant Lorentz boost wedge, subtle thermodynamic glow at boundary edges`                                                                                                                           | `Curved patch straightens into a clean wedge geometry while transport lines continue behaving horizon-like.`                                                                                                    | Local Rindler Horizon Overlay, Boost Flow Vectors, Observer Acceleration Worldlines         | Demonstrate local causal horizons independent of black holes            | Sparse geometric lines, hyperbolic motion traces, soft green thermodynamic edge glow              | “Horizon thermodynamics is local.”                                  |
| XR-CB-06 | Connect observer acceleration to thermal perception   | Accelerated observer perceives Unruh-like thermal bath                         | `Single observer trajectory curving through flat spacetime wedge, faint thermal particles emerging only in observer frame, elegant relativistic visualization`                                                                                                                     | `Observer accelerates through wedge. Thermal haze emerges only relative to observer trajectory while global vacuum remains calm.`                                                                               | Observer Frame Overlay, Proper Acceleration Meter, Unruh Temperature Readout                | Show observer-dependent thermal reality                                 | Directional Doppler glow, observer-localized thermal bloom                                        | “Thermal structure depends on causal perspective.”                  |
| XR-CB-07 | Universalize causal boundaries                        | Any spacetime point reveals local light-cone causal partitions                 | `Minimal spacetime diagram centered on arbitrary point with glowing local light cone, subtle horizon texture everywhere, elegant scientific aesthetic`                                                                                                                             | `Camera zooms outward conceptually. Multiple local cones appear across spacetime like repeating causal flowers.`                                                                                                | Local Causal Boundary Labels, Light Cone Overlay Grid, Accessibility Domains                | Convey ubiquity of horizon logic                                        | Fractal cone repetition, recursive causal geometry, faint holographic lattice                     | “Every point contains causal boundary structure.”                   |
| XR-CB-08 | Introduce ER = EPR connectivity                       | Entangled regions visually form wormhole-like connectivity                     | `Two separated spacetime regions connected by luminous correlation filaments forming abstract Einstein-Rosen bridge, elegant scientific wormhole topology`                                                                                                                         | `Correlation lines strengthen until spacetime visually folds into bridge-like connectivity between regions.`                                                                                                    | Entanglement Link Overlay, Transport Ownership Graph, Correlation Bridge Strength           | Show entanglement as geometric glue                                     | Filament tension glow, soft topological folding distortion                                        | “Connectivity may emerge from correlation.”                         |
| XR-CB-09 | Visualize seam instability / firewall behavior        | Broken correlation creates transport discontinuity                             | `Elegant spacetime seam with fractured transport continuity, firewall-like luminous discontinuity, unresolved transport islands visualized geometrically`                                                                                                                          | `Correlation links fail. Smooth transport destabilizes into ownership ambiguity and causal discontinuity regions.`                                                                                              | Unresolved Transport Island Overlay, Seam Persistence Map, Boundary Crossing Diagnostics    | Show failed correlation causing geometric breakdown                     | Jagged refractive distortion, transport tearing, unstable geodesic shimmer                        | “A seam becomes dangerous when coherence fails.”                    |
| XR-CB-10 | xPRIMEray signature reveal                            | Geometry emerges from transport relations themselves                           | `Curved rays weaving spacetime geometry dynamically from transport interactions, metric forming from correlation structure, cinematic scientific visualization`                                                                                                                    | `Rays propagate first. Geometric grid emerges afterward from coherent transport statistics and observer-dependent accessibility.`                                                                               | Correlation-Derived Metric Overlay, Causal Hit Ordering Graph, Emergent Geometry Visualizer | Present xPRIMEray’s unique conceptual identity                          | Geometry forming from luminous transport threads, coherent causal embroidery aesthetic            | “Geometry may be an emergent readout of transport relationships.”   |
